DescribePrice,查询价格信息
CreateEpc,创建云物理主机
DeleteEpc,删除云物理主机
ReturnEpc,退还云物理主机
RecoverEpc,恢复云物理主机
ModifyEpc,更新云物理主机信息
AttachVolume,EPC挂载EBS
DetachVolume,EPC卸载EBS
CreateResourceRequirement,创建资源需求工单
ModifyResourceRequirement,修改资源需求工单
ModifyResourceRequirementProgress,USS修改工单进展
DeleteResourceRequirement,删除资源需求工单
ReplyResourceRequirement,回复资源需求工单信息
RemarksResourceRequirement,USS回复资源需求工单
DescribeResourceRequirements,查询资源需求工单
CreateProcess,创建故障替换工单
DeleteProcess,删除工单信息
ReplyProcess,回复工单信息
RemarksProcess,售后回复工单信息
DescribeProcesses,查询工单信息
ModifyHyperThreading,修改超线程
ResetPassword,重置密码
DescribeEpcDeviceAttributes,获取云物理主机列表信息
DescribeEpcRaidAttributes,获取云物理主机列表信息
DescribeEpcTrashes,获取云物理主机回收站信息
DescribeEpcs,获取云物理主机列表信息
DescribeEpcStocks,查询云物理主机的库存
DescribeEpcAvailableStocks,查询EPC全部可用库存
AssociateCluster,物理机加入到容器集群
DisassociateCluster,物理机从容器集群移出
StartEpc,启动云物理主机
StopEpc,关闭云物理主机
RebootEpc,重启云物理主机
ReinstallEpc,重装云物理主机
ReinstallCustomerEpc,重装托管云物理主机
CreateImage,创建自定义镜像
ModifyImage,修改自定义镜像信息
DeleteImage,删除自定义镜像
DescribeImages,查看云物理主机镜像信息
DescribeInspections,物理机巡检信息
ModifyNetworkInterfaceAttribute,修改网卡信息
ModifyDns,修改网卡DNS信息
ModifySecurityGroup,修改网卡安全组信息
ImportKey,导入密钥
DeleteKey,删除密钥
ModifyKey,修改密钥信息
CreateKey,创建密钥
AssociateKey,Key关联云主机
DisassociateKey,Key关联云主机
DescribeKeys,获取密钥列表信息
DescribePhysicalMonitor,获取硬件监控信息
DescribeCabinets,获取云物理主机托管机柜列表信息
CreateAccessory,租赁配件
BuyAccessory,销售配件
DeleteAccessory,删除配件
DescribeAccessorys,获取配件列表信息
CreateRemoteManagement,创建带外管理
ModifyRemoteManagement,修改带外管理
DeleteRemoteManagement,修改带外管理
GetDynamicCode,获取验证码
DescribeRemoteManagements,查询带外管理信息
DescribeEpcManagements,查询ILO信息
DescribeVpns,查询VPN信息
DescribeCertificates,查询VPN证书信息
CreateCabinet,创建机柜
DescribeCabinets,获取云物理主机托管机柜列表信息
